# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-s" "0" "-p" "--countReadPairs" "-B" "-C" "-Q" "10" "-F" "SAF" "-a" "/mnt/d/work_dir/memoria/obj2/anotacion/table_genebodies_1_fixed_overlap/exons_extended_final.saf" "-o" "/mnt/d/work_dir/memoria/obj2/featureCounts/exon_counts.txt" "/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F4.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F4.sorted.bam
ENSG00000187961	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	960574;961283;961619;961816;962345;962694;963099;963327;963910;964097;964339;964953	960810;961562;961760;962057;962481;962927;963263;963514;964018;964190;964540;965729	+;+;+;+;+;+;+;+;+;+;+;+	2807	1678	1830	1407	1352	1414	1171	815	946	2762	2223	1722	1585	2090	1724	1272	1071	2282	1628	1094	2391	1734	1933	1797	1231
ENSG00000187583	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	966472;966694;970267;970511;970676;971067;971314;972065;972278;972851;973176;973490;973823;974306;974432	966624;966813;970433;970611;971016;971218;971414;972160;972434;973020;973336;973650;974061;974374;975875	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3632	115	130	98	112	190	149	111	113	221	83	124	123	142	121	157	94	249	201	121	179	201	140	253	179
ENSG00000188290	chr1;chr1;chr1	998952;999516;999682	999442;999623;1000182	-;-;-	1100	712	775	917	827	1775	1608	1196	1638	2108	1403	1719	1820	1457	1677	1633	1157	3276	3595	2194	2969	1645	1495	2084	1414
ENSG00000187608	chr1;chr1;chr1;chr1	1001128;1008184;1013487;1013974	1001291;1008289;1013586;1014550	+;+;+;+	947	1543	1978	1526	1630	2117	2146	1666	1571	2508	1943	1831	1816	2395	2309	2318	1649	19916	20857	8282	7681	2468	2440	3456	1580
ENSG00000188157	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1020110;1022191;1034096;1035267;1040655;1041163;1041468;1041946;1043229;1043528;1043813;1044099;1044324;1045151;1045349;1045723;1045954;1046150;1046387;1046810;1047317;1047563;1047766;1048002;1048857;1049226;1049556;1049893;1050223;1050417;1050716;1051022;1051243;1051443;1051718;1051983;1053451;1053743;1054438;1054814	1020383;1022472;1034713;1035334;1040890;1041407;1041712;1042172;1043467;1043742;1044033;1044267;1044449;1045287;1045533;1045886;1046098;1046275;1046745;1046967;1047464;1047697;1047905;1048375;1049069;1049461;1049805;1050047;1050339;1050601;1050847;1051053;1051379;1051655;1051825;1052026;1053503;1053987;1054561;1056129	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8796	2442	2397	3040	2861	6599	5463	5506	5629	7252	4927	5463	6774	6234	5285	5301	4337	13122	11676	6620	8971	5636	5208	7262	4248
ENSG00000131591	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1081808;1083905;1084471;1085868;1087129;1087492;1090343;1090866;1091462;1105946;1115012;1116050	1082997;1084393;1084516;1086022;1087214;1087607;1090438;1090993;1092184;1106137;1115085;1116099	-;-;-;-;-;-;-;-;-;-;-;-	3345	1030	1128	1245	1269	1040	944	944	1169	1848	1290	1387	1443	1750	1451	1561	1393	1740	1277	902	1664	1664	1339	1924	1318
ENSG00000186891	chr1;chr1;chr1;chr1;chr1	1203498;1204024;1204389;1205360;1206375	1203978;1204246;1204496;1205690;1206602	-;-;-;-;-	1371	7	4	6	35	16	12	33	20	35	25	46	49	11	3	9	17	15	24	8	21	26	17	17	11
ENSG00000160087	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1253902;1256035;1256982;1257198;1263336;1264773;1267723;1273489	1255497;1256135;1257140;1257320;1263396;1264840;1268002;1273865	-;-;-;-;-;-;-;-	2765	3700	3867	4415	4926	2898	2710	2797	2884	6081	4083	4478	4662	5949	4745	5119	4515	4801	3578	2669	5063	4960	4516	6125	4110
ENSG00000131584	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1292381;1293813;1294080;1294392;1294708;1295437;1295726;1296005;1296201;1296415;1297812;1298003;1298360;1298557;1299335;1299821;1299963;1300148;1300499;1301978;1302912;1303152;1304076;1307759	1293718;1293943;1294209;1294638;1294826;1295564;1295948;1296119;1296290;1296643;1297943;1298123;1298431;1298689;1299366;1299915;1300078;1300212;1300702;1302056;1302985;1303291;1304153;1307940	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4273	2298	2386	2205	2400	3286	2827	2535	2956	4833	3368	3540	3849	4084	3891	3426	3032	3940	2982	2021	4078	4077	3472	4057	2921
ENSG00000224051	chr1;chr1;chr1	1324792;1326826;1327231	1325112;1327042;1328906	+;+;+	2214	2082	2396	2526	2772	1884	1650	1764	1635	3240	2108	2092	2271	3811	3078	3155	2585	3498	2731	1882	3643	3302	2828	3675	2453
ENSG00000107404	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1335266;1337967;1338259;1338512;1339277;1339572;1339726;1340028;1340237;1340400;1341657;1342043;1342353;1342679;1348886	1336525;1338193;1338446;1338663;1339449;1339659;1339822;1340187;1340326;1340513;1341815;1342166;1342494;1342768;1349428	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3607	4018	4240	4420	4577	3800	3463	3185	3485	5872	4206	4417	4729	7028	6508	5924	4698	6864	5666	3511	7184	6440	6105	7173	4754
ENSG00000162576	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1352679;1353838;1354020;1354183;1354344;1354672;1355234;1355440;1356671;1358446;1361232	1353639;1353956;1354116;1354242;1354519;1355162;1355355;1355762;1356714;1358804;1361787	-;-;-;-;-;-;-;-;-;-;-	3308	138	139	93	109	167	139	95	112	201	150	151	109	406	579	237	239	1057	1032	630	1001	450	432	253	243
ENSG00000175756	chr1;chr1;chr1	1373720;1373990;1374695	1373912;1374455;1375217	-;-;-	1182	7608	8973	9233	10587	6811	6397	6379	6583	12311	8518	9203	9610	12598	10592	10923	9189	11361	8912	5759	11602	10616	10245	13276	8215
ENSG00000221978	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1385701;1387767;1387944;1390220;1390449;1390756;1392278;1393386;1395384;1398223;1398587;1399009	1387592;1387879;1388075;1390381;1390573;1390875;1392813;1393470;1395524;1398352;1398681;1399345	-;-;-;-;-;-;-;-;-;-;-;-	3868	6024	5349	6431	5710	5200	4231	4446	4979	12375	7886	9090	9821	10519	8184	8796	7602	8126	5792	4419	8421	9444	7401	10848	7351
ENSG00000179403	chr1;chr1;chr1	1435513;1436917;1439071	1435831;1437494;1442892	+;+;+	4719	755	1016	706	721	1140	983	687	806	759	592	553	630	1251	1377	896	677	939	1050	608	1289	1749	1562	1308	1026
ENSG00000160072	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1471755;1477264;1478634;1479039;1480857;1482128;1482535;1485006;1485772;1486100;1486534;1487853;1489194;1490247;1490553;1495475	1472099;1477360;1478755;1479118;1480946;1482313;1482624;1485181;1485848;1486245;1486678;1487924;1489284;1490434;1490681;1497858	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4418	5133	5097	6176	6934	3964	3550	4240	4690	7945	4754	5387	5690	8036	5667	7055	6256	7195	5042	3912	7913	6446	5634	9469	6111
ENSG00000197785	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1512152;1512520;1516002;1517157;1517706;1518911;1520131;1520538;1522734;1523501;1523829;1524263;1525230;1526451;1527685;1529213;1533916	1512483;1512700;1516098;1517422;1517785;1519000;1520316;1520627;1522909;1523577;1523974;1524407;1525301;1526541;1527872;1529341;1534695	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3126	5378	6220	6551	8291	4822	4087	4936	5659	9897	6668	8096	8918	9115	7050	9128	8053	8135	5597	4555	9152	7772	6893	10839	7311
ENSG00000205090	chr1;chr1;chr1;chr1	1534768;1535579;1539046;1540280	1535517;1535807;1539800;1540634	-;-;-;-	2089	43	39	50	35	53	46	45	45	84	53	52	81	62	94	59	60	89	73	38	59	68	74	90	65
ENSG00000160075	chr1;chr1;chr1;chr1;chr1	1541663;1543859;1544853;1560838;1574468	1542177;1543997;1545012;1564926;1574873	-;-;-;-;-	5309	12286	13656	13332	15378	8905	8850	9034	9516	15334	10043	11251	11600	15459	11831	13758	11357	13833	11032	7614	14729	13829	11736	16521	10794
