# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-s" "0" "-p" "--countReadPairs" "-B" "-C" "-Q" "10" "-F" "SAF" "-a" "/mnt/d/work_dir/memoria/obj2/anotacion/table_genebodies_1_fixed_overlap/genebodies_final.saf" "-o" "/mnt/d/work_dir/memoria/obj2/featureCounts/genebody_counts.txt" "/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E4.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F1.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F2.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F3.sorted.bam" "/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F4.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/control/CTRL4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5A/A4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5B/B4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5D/D4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5E/E4.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F1.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F2.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F3.sorted.bam	/mnt/d/work_dir/memoria_trials/data/KO/RNU5F/F4.sorted.bam
ENSG00000187961	chr1	960574	965729	+	5156	1754	1951	1484	1441	1499	1220	850	996	2922	2364	1793	1663	2183	1777	1316	1139	2409	1716	1148	2493	1814	2030	1901	1284
ENSG00000187583	chr1	966472	975875	+	9404	127	141	102	115	210	157	123	124	239	89	127	127	142	130	157	97	264	219	129	197	208	149	266	180
ENSG00000188290	chr1	998952	1000182	-	1231	712	775	917	827	1775	1608	1196	1638	2108	1403	1719	1820	1457	1677	1633	1157	3276	3595	2194	2969	1645	1495	2084	1414
ENSG00000187608	chr1	1001128	1014550	+	13423	1594	2016	1585	1661	2358	2342	1810	1747	2705	2059	2033	1987	2518	2431	2452	1730	20376	21154	8490	7887	2644	2537	3587	1695
ENSG00000188157	chr1	1020110	1056129	+	36020	2565	2516	3121	2948	6794	5639	5632	5740	7481	5083	5623	6925	6394	5398	5382	4457	13493	11981	6800	9168	5764	5369	7394	4361
ENSG00000131591	chr1	1081808	1116099	-	34292	1756	1653	1876	1846	1982	1686	1716	1972	2927	1990	2116	2318	2695	2244	2261	2104	2659	1770	1306	2436	2303	1919	2682	2018
ENSG00000186891	chr1	1203498	1206602	-	3105	7	4	6	35	16	16	33	20	35	25	46	49	11	3	9	17	15	24	8	21	26	17	17	11
ENSG00000160087	chr1	1253902	1273865	-	19964	4012	4084	4708	5219	3157	2887	3046	3147	6590	4388	4774	5033	6395	5108	5446	4902	5217	3763	2812	5396	5289	4780	6565	4443
ENSG00000131584	chr1	1292381	1307940	-	15560	2796	2791	2608	2749	4149	3417	3014	3479	5958	4055	4236	4664	4743	4541	3882	3553	4704	3448	2364	4778	4876	4149	4794	3518
ENSG00000224051	chr1	1324792	1328906	+	4115	2095	2413	2530	2786	1901	1656	1773	1644	3267	2127	2098	2292	3834	3112	3174	2613	3516	2741	1897	3667	3331	2858	3696	2468
ENSG00000107404	chr1	1335266	1349428	-	14163	4090	4307	4519	4622	3880	3532	3231	3525	6016	4294	4485	4778	7125	6624	6005	4828	6998	5727	3556	7295	6569	6200	7288	4818
ENSG00000162576	chr1	1352679	1361787	-	9109	153	169	110	127	204	172	122	132	249	180	183	134	430	641	271	252	1108	1074	660	1035	494	475	311	278
ENSG00000175756	chr1	1373720	1375217	-	1498	7625	8989	9244	10601	6815	6415	6389	6591	12325	8523	9206	9622	12604	10597	10934	9201	11366	8919	5766	11605	10622	10248	13284	8217
ENSG00000221978	chr1	1385701	1399345	-	13645	7684	6988	8258	7292	6560	5461	5649	6264	15800	10175	11646	12740	13289	10346	11073	9704	10501	7341	5659	10743	11969	9395	13811	9243
ENSG00000179403	chr1	1435513	1442892	+	7380	760	1027	712	723	1159	986	691	812	772	593	560	633	1258	1390	904	683	951	1060	609	1301	1761	1579	1321	1027
ENSG00000160072	chr1	1471755	1497858	+	26104	5913	5828	7111	7707	4742	4200	4873	5477	9202	5605	6303	6534	9128	6644	8081	7244	8132	5596	4367	8929	7341	6432	10748	7036
ENSG00000197785	chr1	1512152	1534695	+	22544	5871	6599	7081	8787	5195	4393	5364	6089	10714	7266	8678	9449	9736	7689	9745	8709	8717	5952	4913	9689	8349	7439	11607	7943
ENSG00000205090	chr1	1534768	1540634	-	5867	67	66	92	49	87	65	64	77	125	98	79	111	95	125	87	85	132	115	56	104	107	123	127	82
ENSG00000160075	chr1	1541663	1574873	-	33211	12375	13754	13428	15454	9011	8955	9111	9593	15484	10123	11380	11716	15584	11939	13849	11469	13957	11090	7674	14841	13912	11806	16643	10898
ENSG00000008130	chr1	1751222	1780079	-	28858	5559	5741	5825	6247	4367	3860	3972	4074	7953	5397	5810	6058	8004	6313	6668	5638	7248	5708	3973	7486	6784	6106	8046	5206
ENSG00000178821	chr1	1917580	1919289	-	1710	106	99	126	110	51	57	78	49	111	76	96	54	128	131	124	84	71	75	39	87	109	84	153	72
ENSG00000162585	chr1	2184451	2194785	-	10335	3107	3109	3540	3337	2886	2480	2113	2409	5059	3309	3894	3586	4908	4318	4058	3020	3826	3318	2187	4238	4404	3735	4275	2969
ENSG00000157933	chr1	2228309	2310223	+	81915	6178	6066	6025	6636	7163	6147	6357	7420	10554	7036	8089	9157	12781	10780	10738	9636	8896	7298	4811	9548	10624	9374	11150	8934
